id,make,model,year,type,stars,drive_hand,protocol_year,kerb_weight,seat_arrangement,rating_year,seat1_frontal_airbag,seat3_frontal_airbag,row2_frontal_airbag,seat1_pretensioner,seat3_pretensioner,row2_pretensioner,seat1_load_limiter,seat3_load_limiter,row2_load_limiter,seat1_knee_airbag,seat3_knee_airbag,seat1_side_head_airbag,seat3_side_head_airbag,row2_side_head_airbag,seat1_side_chest_airbag,seat3_side_chest_airbag,row2_side_chest_airbag,seat1_side_pelvis_airbag,seat3_side_pelvis_airbag,row2_side_pelvis_airbag,seat1_centre_lateral_airbag,seat3_centre_lateral_airbag,row2_centre_lateral_airbag,seat1_isofix,seat3_isofix,row2_isofix,row3_isofix,seat1_isize,seat3_isize,row2_isize,row3_isize,seat1_integrated_child_seat,seat3_integrated_child_seat,row2_integrated_child_seat,row3_integrated_child_seat,seat1_airbagcutoffswitch,seat3_airbagcutoffswitch,row2_airbagcutoffswitch,row3_airbagcutoffswitch,seat1_childdetection,seat3_childdetection,row2_childdetection,row3_childdetection,has_active_bonnet,has_aeb_vru,has_cyclistdoorprevention,has_aeb_m2w,has_aeb_cartocar,has_speed_assist,has_lane_assist,has_fatigue_detection,has_distraction_detection
0701,Ford,Grand C-MAX,2017,CAR_SAFETY,3.0,LHD,2017,1606.0,232,2017.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1122pm,SEAT,Leon,2025,CAR_SAFETY,5.0,LHD,2025,1335.0,230,2025.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1219,Hongqi,EHS7,2025,CAR_SAFETY,5.0,LHD,2025,2383.0,230,2025.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1151,firefly,firefly,2025,CAR_SAFETY,5.0,LHD,2025,1467.0,230,2025.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0794pm,Mercedes-Benz,EQB,2019,CAR_SAFETY,5.0,LHD,2019,2090.0,232,2019.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0684,Renault,Koleos,2017,CAR_SAFETY,5.0,LHD,2017,1623.0,230,2017.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0758,MAZDA,3,2019,CAR_SAFETY,5.0,LHD,2019,1346.0,230,2019.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0756,DS,3 Crossback,2019,CAR_SAFETY,4.0,LHD,2019,1199.0,230,2019.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0680,Opel,Ampera-e,2017,CAR_SAFETY,4.0,LHD,2017,1636.0,230,2017.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1086,XPENG,G6,2024,CAR_SAFETY,5.0,LHD,2024,2025.0,230,2024.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
